method,threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,g_mean,mcc,tn,fp,fn,tp,status,roc_auc,pr_auc,dataset,scenario,strategy,strategy_group,threshold_source,seed
ADASYN + RF,0.34,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,train_best_g_mean,train_optimized,train,0
ADASYN + RF,0.34,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,train_best_youden,train_optimized,train,0
ADASYN + RF,0.34,0.9776536312849162,0.5919549477071601,0.09090909090909091,0.2,0.125,0.9839098954143202,0.44360114864917116,0.1245949083200248,1223.0,20.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,train_best_mcc,train_optimized,train,0
ADASYN + RF,0.28,0.9632881085395052,0.5847144006436041,0.05,0.2,0.08,0.9694288012872083,0.44032460782636446,0.0857555835227954,1205.0,38.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,ghost_kappa,ghost,train,0
ADASYN + RF,0.28,0.9632881085395052,0.5847144006436041,0.05,0.2,0.08,0.9694288012872083,0.44032460782636446,0.0857555835227954,1205.0,38.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,ghost_f1,ghost,train,0
ADASYN + RF,0.28,0.9632881085395052,0.5847144006436041,0.05,0.2,0.08,0.9694288012872083,0.44032460782636446,0.0857555835227954,1205.0,38.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,ghost_g_mean,ghost,train,0
ADASYN + RF,0.28,0.9632881085395052,0.5847144006436041,0.05,0.2,0.08,0.9694288012872083,0.44032460782636446,0.0857555835227954,1205.0,38.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,ghost_youden,ghost,train,0
ADASYN + RF,0.28,0.9632881085395052,0.5847144006436041,0.05,0.2,0.08,0.9694288012872083,0.44032460782636446,0.0857555835227954,1205.0,38.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,ghost_mcc,ghost,train,0
ADASYN + RF,0.28,0.9632881085395052,0.5847144006436041,0.05,0.2,0.08,0.9694288012872083,0.44032460782636446,0.0857555835227954,1205.0,38.0,8.0,2.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,validation_best_f1,validation_optimized,validation,0
ADASYN + RF,0.03,0.722266560255387,0.8104183427192277,0.025280898876404494,0.9,0.04918032786885246,0.7208366854384554,0.8054520574774204,0.12248748441591778,896.0,347.0,1.0,9.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,validation_best_g_mean,validation_optimized,validation,0
ADASYN + RF,0.03,0.722266560255387,0.8104183427192277,0.025280898876404494,0.9,0.04918032786885246,0.7208366854384554,0.8054520574774204,0.12248748441591778,896.0,347.0,1.0,9.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,validation_best_youden,validation_optimized,validation,0
ADASYN + RF,0.09,0.859537110933759,0.6812148028962188,0.028409090909090908,0.5,0.053763440860215055,0.8624296057924377,0.6566694776645393,0.09281005829097462,1072.0,171.0,5.0,5.0,ok,0.8165728077232501,0.04492960826619247,Abalone19,threshold_optimization,validation_best_mcc,validation_optimized,validation,0
SMOTE-Tomek + RF,0.5,0.9904229848363927,0.499195494770716,0.0,0.0,0.0,0.998390989541432,0.0,-0.0035863343727484923,1241.0,2.0,10.0,0.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,default_0.5,fixed_threshold,fixed,0
SMOTE-Tomek + RF,0.55,0.9904229848363927,0.499195494770716,0.0,0.0,0.0,0.998390989541432,0.0,-0.0035863343727484923,1241.0,2.0,10.0,0.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,train_best_f1,train_optimized,train,0
SMOTE-Tomek + RF,0.26,0.9664804469273743,0.6359211584875302,0.07894736842105263,0.3,0.125,0.9718423169750603,0.5399561973831933,0.14104986998659136,1208.0,35.0,7.0,3.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,train_best_g_mean,train_optimized,train,0
SMOTE-Tomek + RF,0.26,0.9664804469273743,0.6359211584875302,0.07894736842105263,0.3,0.125,0.9718423169750603,0.5399561973831933,0.14104986998659136,1208.0,35.0,7.0,3.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,train_best_youden,train_optimized,train,0
SMOTE-Tomek + RF,0.55,0.9904229848363927,0.499195494770716,0.0,0.0,0.0,0.998390989541432,0.0,-0.0035863343727484923,1241.0,2.0,10.0,0.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,train_best_mcc,train_optimized,train,0
SMOTE-Tomek + RF,0.3,0.9736632083000798,0.6395414320193081,0.10344827586206896,0.3,0.15384615384615385,0.9790828640386162,0.5419638910587908,0.16515017098538912,1217.0,26.0,7.0,3.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,ghost_kappa,ghost,train,0
SMOTE-Tomek + RF,0.3,0.9736632083000798,0.6395414320193081,0.10344827586206896,0.3,0.15384615384615385,0.9790828640386162,0.5419638910587908,0.16515017098538912,1217.0,26.0,7.0,3.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,ghost_f1,ghost,train,0
SMOTE-Tomek + RF,0.3,0.9736632083000798,0.6395414320193081,0.10344827586206896,0.3,0.15384615384615385,0.9790828640386162,0.5419638910587908,0.16515017098538912,1217.0,26.0,7.0,3.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,ghost_g_mean,ghost,train,0
SMOTE-Tomek + RF,0.3,0.9736632083000798,0.6395414320193081,0.10344827586206896,0.3,0.15384615384615385,0.9790828640386162,0.5419638910587908,0.16515017098538912,1217.0,26.0,7.0,3.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,ghost_youden,ghost,train,0
SMOTE-Tomek + RF,0.3,0.9736632083000798,0.6395414320193081,0.10344827586206896,0.3,0.15384615384615385,0.9790828640386162,0.5419638910587908,0.16515017098538912,1217.0,26.0,7.0,3.0,ok,0.8746983105390184,0.05710451883582856,Abalone19,threshold_optimization,ghost_mcc,ghost,train,0
