dataset,method,threshold,balanced_accuracy,precision,recall,f1,g_mean,mcc,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,status,scenario,seed
AID362 PubChem Bioassay,Balanced Bagging,0.5,0.7436808846761453,0.0502092050209205,0.6666666666666666,0.0933852140077821,0.7396824105364969,0.1472134423324088,0.8287695278216605,0.2383744247143421,0.8185358255451713,1039.0,227.0,6.0,12.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,Balanced Random Forest,0.5,0.8062137967351237,0.08552631578947369,0.7222222222222222,0.15294117647058825,0.8018267278264719,0.2228757655770852,0.8311830788134105,0.156202849465977,0.8878504672897196,1127.0,139.0,5.0,13.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,EasyEnsemble,0.5,0.7422327540810953,0.041401273885350316,0.7222222222222222,0.0783132530120482,0.741962963931174,0.13251507198803578,0.8144856942250308,0.1264894740127649,0.7616822429906542,965.0,301.0,5.0,13.0,ok,real_repeated_split,2
AID362 PubChem Bioassay,RUSBoost,0.5,0.5818852027382833,0.023972602739726026,0.3888888888888889,0.04516129032258064,0.5489470029122293,0.04593474056670711,0.5674697209057399,0.019432925778720536,0.7694704049844237,981.0,285.0,11.0,7.0,ok,real_repeated_split,2
Abalone19,Baseline RF,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5362429605792438,0.012093002435181206,0.9920191540303273,1243.0,0.0,10.0,0.0,ok,real_repeated_split,0
Abalone19,RF (balanced_subsample),0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6494770716009655,0.015387096298753303,0.9920191540303273,1243.0,0.0,10.0,0.0,ok,real_repeated_split,0
Abalone19,Class weight LogisticRegression,0.5,0.7785197103781174,0.025806451612903226,0.8,0.05,0.77822332052245,0.1148642289397335,0.7769106999195494,0.0315271736720935,0.7573822825219473,941.0,302.0,2.0,8.0,ok,real_repeated_split,0
Abalone19,Custom weighted log-loss LR,0.5,0.499195494770716,0.0,0.0,0.0,0.0,-0.0035863343727484923,0.7793242156074014,0.03434385028343589,0.9904229848363927,1241.0,2.0,10.0,0.0,ok,real_repeated_split,0
Abalone19,Random Oversampling + RF,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5790828640386162,0.05887118107093142,0.9920191540303273,1243.0,0.0,10.0,0.0,ok,real_repeated_split,0
Abalone19,Random Undersampling + RF,0.5,0.5567980691874497,0.011111111111111112,0.4,0.021621621621621623,0.5342644058422381,0.02233686156169376,0.6496781979082864,0.016076197187113405,0.7110933758978452,887.0,356.0,6.0,4.0,ok,real_repeated_split,0
Abalone19,SMOTE + RF,0.5,0.49637972646822204,0.0,0.0,0.0,0.0,-0.007629138518220273,0.6398230088495576,0.014501755568713373,0.9848363926576217,1234.0,9.0,10.0,0.0,ok,real_repeated_split,0
Abalone19,Borderline-SMOTE + RF,0.5,0.498793242156074,0.0,0.0,0.0,0.0,-0.004394101216724049,0.6205148833467418,0.014545452246762205,0.9896249002394254,1240.0,3.0,10.0,0.0,ok,real_repeated_split,0
Abalone19,ADASYN + RF,0.5,0.49678197908286403,0.0,0.0,0.0,0.0,-0.0071899315111282,0.7703942075623492,0.02084341170199666,0.985634477254589,1235.0,8.0,10.0,0.0,ok,real_repeated_split,0
Abalone19,SMOTE-Tomek + RF,0.5,0.49557522123893805,0.0,0.0,0.0,0.0,-0.008441118173769505,0.6929203539823009,0.01879354279105023,0.9832402234636871,1232.0,11.0,10.0,0.0,ok,real_repeated_split,0
Abalone19,SMOTE-ENN + RF,0.5,0.4895414320193081,0.0,0.0,0.0,0.0,-0.013056561787708467,0.7110217216411906,0.017506662589289568,0.9712689545091779,1217.0,26.0,10.0,0.0,ok,real_repeated_split,0
