dataset,scenario,method,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,g_mean_mean,g_mean_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_ok,n_error,n_skipped,n_other_status,n_total
Credit Card Fraud Detection,real_repeated_split,ADASYN + RF,0.9994967405170699,6.193020636131143e-05,0.918807540760762,0.020526764029319813,0.868651250386382,0.033816318880034966,0.8378378378378378,0.04109974682633933,0.8520945448453775,0.018904105736026883,0.915046325479261,0.02258845722008948,0.8524190693566759,0.01839163849580931,0.9706117718633106,0.00475038130106872,0.8694869583856782,0.013950929037363648,85276.0,6.244997998398398,19.0,6.244997998398398,24.0,6.082762530298219,124.0,6.082762530298219,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,Balanced Bagging,0.9751023099220143,0.0013357277068412408,0.9436868414812608,0.011187101448748989,0.060086453436170334,0.0021498572171467964,0.9121621621621622,0.023406091994174025,0.11273407932969454,0.0037190622253692697,0.9431034841356829,0.011650936565999253,0.23055882976172482,0.004071978952753038,0.9815584386778476,0.005736138791247728,0.7148276096871836,0.01799284459786824,83180.66666666667,116.76186592091292,2114.3333333333335,116.76186592091331,13.0,3.4641016151377544,135.0,3.4641016151377544,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,Balanced Random Forest,0.9889399950844423,0.000992333729444533,0.9393759680895504,0.01360359342832322,0.12461353418158773,0.007697111362308504,0.8896396396396397,0.028130621614407207,0.21847958285647376,0.011088866253790321,0.9379749104059556,0.014448985451471975,0.3304437527135806,0.006784331556928838,0.9825406551401628,0.0033946046930855268,0.7813975105686618,0.026370443450122977,84366.33333333333,88.48917071220197,928.6666666666666,88.4891707122026,16.333333333333332,4.163331998932265,131.66666666666666,4.163331998932268,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,Baseline RF,0.9995279504074842,8.784281333129259e-05,0.8952155581925791,0.03256501170370516,0.9272481577077021,0.02216324659107987,0.7905405405405405,0.06515980243914161,0.8520343071111602,0.034004649356798554,0.8885592901975107,0.0370499037770073,0.8552262194939361,0.030460918968881093,0.9500320826131249,0.011179684420235973,0.8500418432400222,0.02325083130888291,85285.66666666667,3.5118845842861455,9.333333333333334,3.511884584284246,31.0,9.643650760992955,117.0,9.643650760992955,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,Borderline-SMOTE + RF,0.9995630615342002,4.729997640915755e-05,0.90984738182112,0.027487829021231296,0.921263721623434,0.03286868949300005,0.8198198198198199,0.05503059334626401,0.8661186653420891,0.019937887248862002,0.9050352408796879,0.03065518154944887,0.8681121117045082,0.017177485247990145,0.9605268730832949,0.005853182767952432,0.8602272757502768,0.02098077002434937,85284.33333333333,5.131601439445348,10.666666666666666,5.131601439446884,26.666666666666668,8.144527815247079,121.33333333333333,8.144527815247079,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,Class weight LogisticRegression,0.9767096192783494,0.0021148443307996197,0.9467402348711335,0.009244043723973604,0.06443937489840067,0.004140074911796576,0.9166666666666666,0.020642232860161345,0.1203770424146511,0.007064776235709004,0.946214408404161,0.009589184305789904,0.2395293278811413,0.005234683050150469,0.9860463869696533,0.005924944095994049,0.7654999911281676,0.0467543466872806,83317.33333333333,183.75345801734616,1977.6666666666667,183.75345801734812,12.333333333333334,3.0550504633038935,135.66666666666666,3.055050463303897,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,Custom weighted log-loss LR,0.9993523947739038,6.445900246113161e-05,0.9086176935479356,0.017552882897377664,0.8102874902874904,0.014339081468403353,0.8175675675675675,0.035109137991261016,0.8136915400527807,0.021325779557923443,0.9039034812167707,0.019534777265319582,0.8134856173845475,0.021326694220352483,0.9837566389884814,0.006944162948491985,0.7982468245823116,0.047000525774714114,85266.66666666667,2.5166114784255105,28.333333333333332,2.5166114784235836,27.0,5.196152422706632,121.0,5.196152422706632,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,EasyEnsemble,0.9663830467875268,0.0015548910626557117,0.9471888501433022,0.009245049165561542,0.04583547858020506,0.0015618941276786126,0.9279279279279279,0.019505076661811675,0.08735073935339173,0.0028183207643737826,0.9469540757158031,0.009488917893763708,0.20215287249036798,0.003683025519363233,0.9855357189066668,0.0028073723566741583,0.7594772886497969,0.03489574296253955,82433.33333333333,134.76028099307592,2861.6666666666665,134.76028099307803,10.666666666666666,2.8867513459481287,137.33333333333334,2.886751345948127,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,RF (balanced_subsample),0.9995396541163895,9.090801429203733e-05,0.8918489038308488,0.03256865611816725,0.9412364367983045,0.012319272810268903,0.7837837837837838,0.06515980243914163,0.8540333037531345,0.03554256116301751,0.8847553463014842,0.037216876878371885,0.8580376820898588,0.031517683171656374,0.9456889417701891,0.010467471362598018,0.849382952059239,0.021456838343036685,85287.66666666667,2.0816659994675892,7.333333333333333,2.081665999466133,32.0,9.643650760992955,116.0,9.643650760992955,3,0,0,0,3
Credit Card Fraud Detection,real_repeated_split,RUSBoost,0.9676665535308139,0.0065464686433573255,0.9208515860957388,0.014020497349507666,0.045917917959141887,0.006871941441941888,0.8738738738738738,0.03400826322194032,0.08715623268645052,0.012304635124296632,0.9194948380005078,0.015098984167286639,0.19556968366009567,0.012310650852534511,0.9433556908218378,0.032895684019581796,0.1225914712575941,0.0698430208355654,82551.0,563.9796095604876,2744.0,563.9796095604876,18.666666666666668,5.033222956847167,129.33333333333334,5.033222956847164,3,0,0,0,3
