source,method,f1_mean,f1_std,pr_auc_mean,pr_auc_std,recall_mean,precision_mean,mcc_mean,g_mean_mean,rank_f1,rank_pr_auc
synthetic_ir,EasyEnsemble,0.348833510012192,0.0544571619376597,0.4866684007175359,0.1137773244829985,0.7488888888888888,0.2282461449147046,0.3086846428835607,0.7443331429999196,14.0,12.0
synthetic_ir,RF (balanced_subsample),0.4477749954723639,0.1079698873367462,0.8597680969558937,0.0748139406895239,0.2933333333333333,0.992063492063492,0.5171227696894021,0.5372272480382598,12.0,2.0
synthetic_ir,RUSBoost,0.2498940971373641,0.0717106759779016,0.177916975123212,0.0988559816742408,0.4133333333333333,0.1790872836341091,0.1582643085161843,0.5759834961241133,15.0,15.0
synthetic_ir,Random Oversampling + RF,0.605219921094216,0.0822317478337607,0.8625442932031703,0.0769727127742968,0.4422222222222222,0.9765611021649668,0.6363093091411574,0.6624851885799977,9.0,1.0
synthetic_ir,Random Undersampling + RF,0.6101830518480251,0.0831114577726262,0.799014455549765,0.0737081262664346,0.8755555555555555,0.4698682190049322,0.593706817402002,0.8868754201506756,8.0,10.0
synthetic_ir,SMOTE + RF,0.7464321841680333,0.0525863032418074,0.8437897437659215,0.0740805918351818,0.6888888888888888,0.816763394320939,0.7270270845194018,0.8230824742718102,1.5,3.5
synthetic_ir,SMOTE-ENN + RF,0.7282095587233761,0.0860752504852826,0.8133492336719952,0.0800272765403965,0.7200000000000001,0.7399726789446831,0.702061526832261,0.8368879873657823,5.0,9.0
synthetic_ir,SMOTE-Tomek + RF,0.7464321841680333,0.0525863032418074,0.8437897437659215,0.0740805918351818,0.6888888888888888,0.816763394320939,0.7270270845194018,0.8230824742718102,1.5,3.5
synthetic_ir,ADASYN + RF,0.3838637721679238,0.0733250697892821,0.417363919296605,0.1237469259238318,0.3185185185185185,0.4999545371885797,0.3865338275564121,0.5614328787943342,5.0,7.0
synthetic_ir,Balanced Bagging,0.2073559184410784,0.022685536166815,0.2700513509141704,0.0222045053955903,0.7185185185185184,0.1212320966329227,0.2658455812447204,0.8002874643596704,7.0,11.0
synthetic_ir,Balanced Random Forest,0.2976974656326355,0.0300074281509653,0.3899479251923626,0.0671404854281946,0.7333333333333334,0.187699271627843,0.3480141860533252,0.8269513030876423,6.0,8.0
synthetic_ir,Baseline RF,0.0575035063113604,0.0121462188469065,0.5479942041710751,0.1417254477720576,0.0296296296296296,1.0,0.1697678745549032,0.1714065233900322,13.0,1.0
synthetic_ir,Borderline-SMOTE + RF,0.3878161312371839,0.0985842199367087,0.494848622187346,0.0930161288414075,0.2740740740740741,0.7038659015403201,0.427984028205899,0.5181976030435963,3.0,4.0
synthetic_ir,Class weight LogisticRegression,0.1065946049718167,0.0249342957864779,0.095730495110953,0.0407744764665454,0.7222222222222222,0.057606183293359,0.155134169570892,0.7392863986492434,12.0,14.0
synthetic_ir,Custom weighted log-loss LR,0.1560366164599942,0.1189013752572018,0.144521633949136,0.0764793698455323,0.1333333333333333,0.1996155638397017,0.1493081270909481,0.3274282351945341,9.0,12.0
